mgmt_action,rl_rate,random_rate,ratio
assign_to_primary_team,0.901,0.3102,2.9
enable_cross_trained_pool,0.0869,0.0426,2.04
reroute_from_overloaded_employee,0.011,0.0464,0.24
adjust_staffing_by_case_volume,0.0008,0.0019,0.45
prioritize_urgent_case,0.0003,0.0342,0.01
escalate_to_higher_authority,0.0,0.0197,0.0
add_temporary_staff,0.0,0.0002,0.0
outsource_to_volunteer_pool,0.0,0.001,0.0
merge_tasks_under_role,0.0,0.0009,0.0
rebalance_overloaded_queue,0.0,0.0482,0.0
relax_rules_for_low_risk,0.0,0.219,0.0
skip_optional_subprocess,0.0,0.2288,0.0
trigger_high_cost_escalation,0.0,0.0468,0.0
