from_activity,to_activity,rl_count,random_count,rl_pct,random_pct,preference_ratio,log2_ratio,avg_reward_rl,in_real_log,transition_type
register deadline,record date of decision environmental permit,125,0,100.0,0.0,279.0,8.124,-0.119,True,learned_prefer
record date of decision environmental permit,set decision phase decision permitting published,127,0,100.0,0.0,275.0,8.103,-0.111,True,learned_prefer
create publication document,start decision phase extension granted,2,0,66.7,0.0,243.571,7.928,-0.053,True,learned_prefer
create subcases completeness,decision date prior to decision,110,0,85.9,0.0,231.319,7.854,-0.198,True,learned_prefer
enter receipt of additional data,send letter in progress,1,0,100.0,0.0,195.0,7.607,-0.013,True,learned_prefer
phase additional information received,creating environmental permit decision,4,0,100.0,0.0,193.0,7.592,-0.013,True,learned_prefer
enter senddate procedure confirmation,date for inspection MER,294,0,52.1,0.0,157.032,7.295,-0.126,True,learned_prefer
start decisionphase draft decision - permitting decided,read publication date field,1,0,100.0,0.0,151.0,7.238,-0.203,True,learned_prefer
start decision phase decision permitting sent,create procedure confirmation,2,0,50.0,0.0,142.778,7.158,-0.068,True,learned_prefer
create procedure confirmation,create publication document,2,0,66.7,0.0,142.143,7.151,-0.061,True,learned_prefer
enter senddate decision suspension,phase procedure resumed,1,0,100.0,0.0,139.0,7.119,-0.013,True,learned_prefer
close case,decision keep permanently suspended,1,0,100.0,0.0,135.0,7.077,-0.027,True,learned_prefer
transcript decision environmental permit to stakeholders,enter senddate procedure confirmation,295,0,52.5,0.0,131.859,7.043,-0.173,True,learned_prefer
treat subcases completeness,transcript decision environmental permit to stakeholders,6,1,100.0,0.5,128.333,7.004,-0.013,True,learned_prefer
decision date prior to decision,create decision no permit required,202,0,50.4,0.0,119.533,6.901,-0.186,True,learned_prefer
set decision phase suspension sent,enter date decision suspension,6,0,100.0,0.0,119.0,6.895,-0.165,True,learned_prefer
set decision phase: draft decision for inspection,perspective on draft decision environmental permit received,12,0,100.0,0.0,117.0,6.87,-0.167,True,learned_prefer
phase application receptive,transcript decision environmental permit to stakeholders,199,1,100.0,0.6,111.667,6.803,-0.151,True,learned_prefer
registrer date of publishing received request,enter senddate updated plan,1,0,33.3,0.0,104.143,6.702,-0.27,True,learned_prefer
set decision status,submit decision,191,2,99.5,0.8,95.7,6.58,-0.137,True,learned_prefer
terminate on request,term for supplying missing data,20,1,100.0,0.7,93.667,6.549,-0.013,True,learned_prefer
generating decision environmental permit,treat subcase perspective,19,1,100.0,0.8,87.667,6.454,-0.164,True,learned_prefer
retrieve missing data,enter receipt of additional data,1,0,25.0,0.0,86.333,6.432,-0.02,True,learned_prefer
create procedure confirmation,subcases completeness completed,1,0,33.3,0.0,85.286,6.414,-0.036,True,learned_prefer
no permit needed or only notification needed,set phase decision revoked,73,1,98.6,0.8,80.57,6.332,-0.173,True,learned_prefer
subcase perspective complete,phase decision sent,62,0,86.1,0.0,78.448,6.294,-0.203,True,learned_prefer
completed subcases content,start decision phase decision permitting sent,1,1,50.0,0.5,76.6,6.259,-0.013,True,learned_prefer
procedure change,start decision phase permanently suspended decided,1,2,100.0,1.1,75.0,6.229,-0.013,True,learned_prefer
enter date publication decision environmental permit,set decision status,181,0,42.3,0.0,73.278,6.195,-0.147,True,learned_prefer
enter senddate decision environmental permit,continue or abort mutation BAG objects,1,1,50.0,0.5,73.0,6.19,-0.013,True,learned_prefer
suspend term,treat subcases content,2,1,100.0,0.9,71.667,6.163,-0.116,True,learned_prefer
creating environmental permit decision,enter date advice on treatment of environmental permit,4,2,80.0,0.9,70.2,6.133,-0.013,True,learned_prefer
entering senddate draft decision environmental permit,enter senddate decision environmental permit,2,0,33.3,0.0,69.615,6.121,-0.075,True,learned_prefer
objection lodged against decision,treat objection subcase,76,0,100.0,0.0,69.0,6.109,-0.098,True,learned_prefer
retrieve missing data,investigate BAG objects,3,1,75.0,0.8,67.148,6.069,-0.013,True,learned_prefer
