#{"t_start": 1776093006.9713504, "env_id": "None"}
r,l,t
1041.121415,5869,1210.028869
1006.901309,5996,1338.978549
1016.762966,6059,1463.519363
11029.900749,6058,1572.172856
1018.936853,5899,1657.080571101039.741905,5927,1746.643533101017.279931,5981,1834.499261
1013.536868,6024,1923.938256
1019.243443,5968,2019.44063
1037.9414,5918,2105.598949
11018.026407,6216,3033.830832
1019.084822,5897,3122.123458
1020.288012,5905,3209.98047
1028.272345,5861,3296.109874
1007.076305,5966,3382.4287
1031.996057,5921,3472.069844
1026.073091,5887,3557.423236
1024.929022,5820,3648.50969
1033.953904,6033,3738.708262
1034.935887,5907,3823.696883
1030.075065,6044,4715.486709
1009.304812,6250,4820.538094
1030.847828,5975,4918.051149
1019.614308,5889,5011.061525
1034.584551,5908,5101.416269
1033.290218,5931,5189.935095
1033.1684,5850,5281.428963
1022.188713,5982,5369.531741
1019.090838,5984,5461.561449
1032.157835,5852,5548.988738
1019.610816,5923,6486.523854
1012.368696,5992,6577.243995
1014.723597,5943,6666.088731
1018.885548,6092,6758.268618
1016.410553,6015,6848.41599
1022.933769,6052,6939.663045
1033.94524,6101,7031.965456
1017.68763,5953,7121.300093
1025.467404,5986,7210.088228
1036.784232,5911,7297.442398
10111002.411754,6332,8308.386810251038.843774,5895,8402.692710071024.361959,6009,8498.456910171030.096083,6160,8595.235610211026.537763,6153,8695.774810361029.537971,5776,8789.222010411034.638467,5785,8879.9980998.1030.585931,6121,8974.91410171027.879239,5864,9063.4591030.1028.001994,5796,9156.131018.71019.549545,6077,10100.1024.8441012.362517,6063,10191.1027.5541001.428119,6185,102821009.06501009.129336,5884,103691031.75541015.368401,5978,10451035.010991020.341506,6022,10541020.835811021.2614,6072,10638.1032.4621022.057857,5849,10727.1024.5281021.048282,6096,10816.1048.9791008.257055,6083,10905.1035.2071024.149637,6033,11807.1016.8851032.996386,6008,11897.1022.3161016.802373,6121,11989.1031.4071018.859169,6133,12079.1026.3671006.388319,6262,121711034.03601009.860749,6231,12264.96077
1015.241171,6057,12359.175225
1014.64736,5945,12449.137727
1017.159503,6122,12540.434755
1014.413081,5971,12626.1033.531023.818247,5967,13452.926719
1009.396001,6178,13533.502338
1019.38277,6205,13614.674415
1036.566086,5986,13693.895726
1043.024937,5864,13770.90783
1024.643816,5949,13848.503812
1024.602428,5938,13926.432908
1031.824225,5954,14004.300733
997.707809,6122,14084.62893
1022.062896,6167,14163.899010261033.529689,5805,14960.387868
1021.98582,5957,15038.579648
1036.175765,5839,15116.842633
985.820941,6198,15199.249838
996.407919,6340,15289.704972
1009.503612,6110,15370.294258
1024.883572,6099,15451.510587
1011.737137,6171,15532.280566
1026.719045,5830,15609.328492
1031.86019,5868,15686.722075101020.716229,5990,16580.285868
1000.679463,6140,16669.052886
1013.433995,6024,16754.937068
1009.839295,6209,16843.014273
1017.840645,6008,16928.082631
1012.945297,5837,17012.857337
1031.955557,5884,17096.690205
1038.167901,5704,17178.653906
1022.970031,5988,17263.11939
1019.738804,6014,17348.479010221021.920457,6105,18210.858741
1030.416048,6102,18297.474396
1028.934053,5889,18382.773662
1016.00307,6139,18469.746554
1009.741534,5962,18555.787998
1022.345736,6040,18641.723808
1030.93906,5814,18725.89278
1015.007144,5998,18810.854513
1014.359875,5928,18895.966725
1023.972187,6170,18985.285071031001.026244,6198,19872.833851
1018.496894,6023,19958.129981
1021.769398,5907,20042.637144
992.06906,6114,20128.278469
1017.13421,6022,20215.103659
1025.169333,6003,20299.688895
1018.736744,5969,20384.881299
1014.52576,6134,20470.202742
1034.732042,5800,20555.211721
