rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/time_elapsed,time/fps,time/total_timesteps,train/clip_fraction,train/policy_gradient_loss,train/clip_range,train/explained_variance,train/entropy_loss,train/loss,train/learning_rate,train/n_updates,train/approx_kl,train/value_loss
1,5990.0,1003.664192,176,10240,58,,,,,,,,,,,,,,,,,,,,,,,,,,
1030.367154,5899.0,1,199,51,10240,,,,,,,,,,,,,,,,,,,,
2,5939.0,1018.6654566666666,381,20480,53,-0.005688439611112699,10,-0.06489109992980957,1.1964971804618836,0.00732764,0.051328125,0.44341251254081726,-0.8718115283548832,0.2,0.003,5989.6,1022.2269618,621,30720,49,-0.00594229732232634,20,0.08064663410186768,1.6933777652680875,0.0074361763,0.06119140625,0.6011989712715149,-0.8588546165823936,0.2,0.00029939999999999996
4,6036.5,1017.7908421666667,818,40960,50,-0.0034711941902060063,30,0.04149669408798218,1.6271502858400344,0.0059769023,0.041689453125,0.8296451568603516,-0.8642849338054657,0.2,0.00029909999999999995
5,6075.75,1015.311418125,1048,51200,48,-0.004703031540848315,40,0.24243974685668945,1.5216735367476941,0.0069118934,0.054970703125,0.6425459980964661,-0.861559254527092,0.2,0.0002988
6,6072.4,1013.4660379000001,2275,61440,26,-0.0044783405266935,50,0.10821068286895752,1.8179684780538081,0.0072473027,0.054345703125,0.9116832613945007,-0.815579911917448,0.2,0.0002985
7,6051.181818181818,1014.1406201818182,2420,71680,29,-0.004805029407143593,60,0.3897792100906372,2.0224832010269167,0.006772998,0.0588671875,1.2328882217407227,-0.8474817438423634,0.2,0.0002982
8,6032.307692307692,1016.0897981538462,2585,81920,31,-0.005621459694229998,70,0.044355154037475586,1.9952226175367833,0.0075634615,0.06853515625,0.7687332630157471,-0.79775724619627,0.2,0.0002979
9,6027.4,1016.0007205333335,2758,92160,33,-0.0033100454206578434,80,0.13225048780441284,2.6337814471125602,0.0067637293,0.052861328125,1.475441336631775,-0.8370530600845814,0.2,0.00029759999999999997
10,6027.3125,1015.581582,2911,102400,35,-0.004301228882977739,90,0.3093379735946655,2.9911038398742678,0.006748572,0.067802734375,1.6178193092346191,-0.8056767921149731,0.2,0.00029729999999999996
11,6029.388888888889,1015.6776130000001,3994,112640,28,-0.005012213929439895,100,0.38024652004241943,2.3173569533228875,0.0067355707,0.075869140625,0.8768370747566223,-0.7712169224023819,0.2,0.00029699999999999996
12,6012.35,1017.4002833500001,4165,122880,29,-0.005072752269916237,110,0.054549574851989746,3.5376636973023414,0.007461724,0.076552734375,2.193819999694824,-0.7593682269752026,0.2,0.00029669999999999995
13,6002.681818181818,1018.1913286818182,4348,133120,30,-0.005465393534686882,120,0.07106608152389526,3.8996215400099756,0.0076623634,0.0818359375,0.6917181611061096,-0.807010747641325,0.2,0.0002964
14,5994.434782608696,1018.5393888695653,4504,143360,31,-0.0041783842723816635,130,0.107272207736969,4.317959897518158,0.00675507,0.06984375,2.8774280548095703,-0.7887767666578293,0.2,0.0002961
15,6000.92,1018.92629928,4670,153600,32,-0.004436756161740049,140,0.13819849491119385,3.175040678679943,0.0077447193,0.078056640625,0.679617702960968,-0.8279750041663647,0.2,0.0002958
