rank,from_activity,to_activity,support,avg_reward,condition_delay,condition_rework,condition_case_age,condition_volume,condition_term_prox,is_bad_terminal,is_good_terminal,rule_text,score
1,A_Create Application,A_Submitted,500,-0.017,low delay,low rework,early in case,normal volume,far from terminal,False,False,IF at 'A_Create Application' AND low delay AND low rework AND early in case AND normal volume THEN route to 'A_Submitted',0.0
2,A_Submitted,W_Handle leads,500,-0.017,low delay,low rework,early in case,normal volume,far from terminal,False,False,IF at 'A_Submitted' AND low delay AND low rework AND early in case AND normal volume THEN route to 'W_Handle leads',0.0
3,W_Handle leads,W_Complete application,500,-0.017,low delay,low rework,early in case,normal volume,far from terminal,False,False,IF at 'W_Handle leads' AND low delay AND low rework AND early in case AND normal volume THEN route to 'W_Complete application',0.0
4,W_Complete application,W_Shortened completion ,500,-0.017,low delay,low rework,early in case,normal volume,far from terminal,False,False,IF at 'W_Complete application' AND low delay AND low rework AND early in case AND normal volume THEN route to 'W_Shortened completion ',0.0
5,W_Shortened completion ,O_Create Offer,500,-0.017,low delay,low rework,early in case,normal volume,far from terminal,False,False,IF at 'W_Shortened completion ' AND low delay AND low rework AND early in case AND normal volume THEN route to 'O_Create Offer',0.0
6,O_Create Offer,O_Created,500,-0.017,low delay,low rework,early in case,normal volume,far from terminal,False,False,IF at 'O_Create Offer' AND low delay AND low rework AND early in case AND normal volume THEN route to 'O_Created',0.0
7,O_Created,O_Sent (mail and online),489,-0.017,low delay,low rework,early in case,normal volume,far from terminal,False,False,IF at 'O_Created' AND low delay AND low rework AND early in case AND normal volume THEN route to 'O_Sent (mail and online)',0.0
8,O_Sent (mail and online),W_Validate application,489,-0.017,low delay,low rework,early in case,normal volume,far from terminal,False,False,IF at 'O_Sent (mail and online)' AND low delay AND low rework AND early in case AND normal volume THEN route to 'W_Validate application',0.0
9,W_Validate application,W_Validate application,7447,-0.048,low delay,low rework,early in case,normal volume,far from terminal,False,False,IF at 'W_Validate application' AND low delay AND low rework AND early in case AND normal volume THEN route to 'W_Validate application',0.0
10,O_Created,W_Call incomplete files,11,-0.017,low delay,low rework,early in case,high volume,far from terminal,False,False,IF at 'O_Created' AND low delay AND low rework AND early in case AND high volume THEN route to 'W_Call incomplete files',0.0
11,W_Call incomplete files,W_Validate application,11,-0.017,low delay,low rework,early in case,high volume,far from terminal,False,False,IF at 'W_Call incomplete files' AND low delay AND low rework AND early in case AND high volume THEN route to 'W_Validate application',0.0
