dataset,seed_a,seed_b,topk_jaccard,topk_shared,n_common_transitions,spearman_rho
BPIC2012,0,1,0.308,4,4,
BPIC2012,0,2,0.545,6,6,
BPIC2012,0,3,0.6,6,6,
BPIC2012,0,4,0.214,3,5,
BPIC2012,1,2,0.429,6,7,
BPIC2012,1,3,0.267,4,6,
BPIC2012,1,4,0.25,4,9,
BPIC2012,2,3,0.583,7,7,
BPIC2012,2,4,0.25,4,8,
BPIC2012,3,4,0.188,3,7,
BPIC2015,0,1,0.0,0,0,
BPIC2015,0,2,0.0,0,5,
BPIC2015,0,3,0.053,1,8,
BPIC2015,0,4,0.0,0,1,
BPIC2015,1,2,0.0,0,9,
BPIC2015,1,3,0.0,0,0,
BPIC2015,1,4,0.0,0,0,
BPIC2015,2,3,0.0,0,2,
BPIC2015,2,4,0.0,0,10,-0.127
BPIC2015,3,4,0.0,0,0,
BPIC2017,0,1,0.154,2,2,
BPIC2017,0,2,0.062,1,1,
BPIC2017,0,3,0.062,1,1,
BPIC2017,0,4,0.176,3,3,
BPIC2017,1,2,0.5,4,4,
BPIC2017,1,3,0.5,4,4,
BPIC2017,1,4,0.25,3,4,
BPIC2017,2,3,1.0,7,7,
BPIC2017,2,4,0.133,2,3,
BPIC2017,3,4,0.133,2,3,
