dataset,seed,outcome,n_cases,n_preferred_transitions,rho_conformance_vs_days,partial_rho_ctrl_length,median_days_low_conformance,median_days_high_conformance,speedup_ratio
BPIC2012,0,bad,7013,5,-0.19,-0.051,14.16,1.34,0.095
BPIC2012,0,good,2246,5,-0.151,0.039,16.9,13.89,0.822
BPIC2012,1,bad,7013,8,0.296,-0.25,0.05,1.09,22.43
BPIC2012,1,good,2246,8,0.11,-0.177,14.78,17.65,1.194
BPIC2012,2,bad,7013,8,0.468,-0.017,0.05,2.68,56.163
BPIC2012,2,good,2246,8,-0.148,0.044,16.83,13.54,0.805
BPIC2012,3,bad,7013,6,0.484,0.043,0.07,4.95,72.746
BPIC2012,3,good,2246,6,-0.093,-0.039,15.83,13.62,0.86
BPIC2012,4,bad,7013,11,0.441,-0.051,0.05,2.41,49.879
BPIC2012,4,good,2246,11,-0.077,0.008,14.93,14.05,0.941
BPIC2015,0,bad,421,56,-0.002,-0.051,62.62,62.68,1.001
BPIC2015,0,good,2013,56,0.05,-0.037,99.6,101.04,1.014
BPIC2015,1,bad,421,277,-0.048,-0.058,62.31,57.0,0.915
BPIC2015,1,good,2013,277,0.044,-0.081,99.05,108.98,1.1
BPIC2015,2,bad,421,144,-0.111,-0.013,63.47,62.68,0.988
BPIC2015,2,good,2013,144,-0.025,-0.019,100.58,96.5,0.959
BPIC2015,3,bad,421,24,0.087,0.044,62.6,62.68,1.001
BPIC2015,3,good,2013,24,0.085,0.026,100.39,101.04,1.006
BPIC2015,4,bad,421,112,0.114,0.155,58.51,62.68,1.071
BPIC2015,4,good,2013,112,-0.031,-0.084,100.37,97.23,0.969
BPIC2017,0,bad,15091,10,-0.059,-0.086,31.49,22.62,0.718
BPIC2017,0,good,16326,10,-0.011,-0.08,14.82,14.23,0.961
BPIC2017,1,bad,15091,5,-0.347,-0.425,31.69,17.46,0.551
BPIC2017,1,good,16326,5,0.106,-0.12,13.73,15.4,1.121
BPIC2017,2,bad,15091,5,-0.179,-0.243,30.77,16.07,0.522
BPIC2017,2,good,16326,5,0.114,-0.098,13.89,15.76,1.134
BPIC2017,3,bad,15091,5,-0.179,-0.243,30.77,16.07,0.522
BPIC2017,3,good,16326,5,0.114,-0.098,13.89,15.76,1.134
BPIC2017,4,bad,15091,9,-0.348,-0.426,31.7,17.35,0.547
BPIC2017,4,good,16326,9,0.107,-0.119,13.73,15.46,1.126
